# stock1, stock2, stock3, stock4
1.047732179653630453e+02,1.179397598938327292e+02,1.140521568022827807e+02,9.215828257131440182e+01
9.599211360018689732e+01,1.185613625955237183e+02,1.094251563270242116e+02,8.643453990613285498e+01
9.273339827908492339e+01,1.174604562945697808e+02,1.062564963144334484e+02,8.707718054997764057e+01
8.994033072205459689e+01,1.175790883922559829e+02,1.064948239529362581e+02,9.022187419177463141e+01
8.955149359568734724e+01,1.184810834151206933e+02,1.056650377333113227e+02,9.573929677899437252e+01
9.201616150488287360e+01,1.175359952135536616e+02,1.037242177733135549e+02,9.386424097615440587e+01
8.997332678468818301e+01,1.188399605543485933e+02,9.836340643023667951e+01,8.214822985971220248e+01
8.864673410361631056e+01,1.198147945148420064e+02,9.865259210662692624e+01,8.358271138136736056e+01
8.466606538078836763e+01,1.189975536385272079e+02,9.677007380692451477e+01,8.485515260679271421e+01
8.764299842524899020e+01,1.192701688457807734e+02,1.022954964362070456e+02,8.881604065738908105e+01
8.212958190270516923e+01,1.179041265578736386e+02,1.014346741750264869e+02,8.668705482470886636e+01
8.334755351157652115e+01,1.193389470359256848e+02,1.015053655364602889e+02,8.618842807218284463e+01
7.657188520791535780e+01,1.199812725176913375e+02,9.968270531145454072e+01,7.983264921892288157e+01
8.112251770313932298e+01,1.191036848153732848e+02,1.026162750931670473e+02,7.590467056433023174e+01
7.782607909291327530e+01,1.208556302595667091e+02,1.024282691302868358e+02,7.545029929024128990e+01
7.363649786633091310e+01,1.206198713334575814e+02,1.018891296720186261e+02,7.482667938662760321e+01
7.645129759866550501e+01,1.212890535396786618e+02,1.052277056132610937e+02,7.590446598099224218e+01
7.957884508532522716e+01,1.213018070992341677e+02,1.002777404271196389e+02,7.899452158256163159e+01
7.922504858120878168e+01,1.201433439102852105e+02,1.023297948224068392e+02,7.388260666081019679e+01
7.863187313859634742e+01,1.186899053092841285e+02,1.024757389958108718e+02,7.203219924293098586e+01
7.735579575728496593e+01,1.202373420000468514e+02,1.026234075531057925e+02,7.435250074002314591e+01
7.136978179375323350e+01,1.183388408353529115e+02,1.064631334239908966e+02,6.935443381137847041e+01
7.178864463474327806e+01,1.168752393300543986e+02,1.035676046906027921e+02,7.208694549503580618e+01
7.195374456590131729e+01,1.162549586252832796e+02,1.074909879359992289e+02,6.943173746406465341e+01
7.156240104424858828e+01,1.171715479702320692e+02,1.084418755108628005e+02,6.842399882159271840e+01
7.127668668599500279e+01,1.166087604345658235e+02,1.038225955657189417e+02,6.824915634899795691e+01
7.004937106897673971e+01,1.169755731958751284e+02,1.050284276835073172e+02,7.205643176137311912e+01
6.775885298543519752e+01,1.188377628583851759e+02,1.093816374944392180e+02,7.308695235863294215e+01
6.798827128367842931e+01,1.204167613511758503e+02,1.137483107688664745e+02,7.525133762885243982e+01
6.978657842101105757e+01,1.213655422157562072e+02,1.142144085038231367e+02,7.486847308495494246e+01
6.536432122509047815e+01,1.212548308921388838e+02,1.167773116160962843e+02,6.976638201019403596e+01
6.596184347370443390e+01,1.209759940368183919e+02,1.121848794147614683e+02,7.393625975378473925e+01
6.745104473032040460e+01,1.216588277792951800e+02,1.159226062262953150e+02,7.916635300509955186e+01
6.914491361264578018e+01,1.218390114555941892e+02,1.152528032506550346e+02,7.451185972930737478e+01
6.854409685318373135e+01,1.211752587577999236e+02,1.138973831438664917e+02,7.119766335493646636e+01
7.667345567054236710e+01,1.214033246942539108e+02,1.136395195439659460e+02,7.207395730789806976e+01
7.438434402894731079e+01,1.230362232748848044e+02,1.153222254504404845e+02,6.883517385741066619e+01
7.556325094242966145e+01,1.206783425412687762e+02,1.146863139231817286e+02,7.228947476431542896e+01
7.449131351793710110e+01,1.208375955227864864e+02,1.150753939552926823e+02,7.150410289268094743e+01
7.768509716214627758e+01,1.217321475253573624e+02,1.083015233939696031e+02,6.809511567611575344e+01
8.251665697466346217e+01,1.214983158117037760e+02,1.042833718618971375e+02,6.743561296126175364e+01
8.373217124603694117e+01,1.208893437585037560e+02,1.102006821631603941e+02,6.454182004487488200e+01
8.279531988307103063e+01,1.196812988114545249e+02,1.110548837602795516e+02,6.719808213698550503e+01
8.671148281009244840e+01,1.187621164228980888e+02,1.144834158092325112e+02,6.811203524289730638e+01
9.349989156271601587e+01,1.192548838425735624e+02,1.174245573149818966e+02,7.396949297265312850e+01
1.036719310278603245e+02,1.195215777150272487e+02,1.138935670712561858e+02,8.397510596273411920e+01
1.040059826297372609e+02,1.194872620139630328e+02,1.063600894928286777e+02,8.486946332659425707e+01
1.038137281481871526e+02,1.213640975620819944e+02,1.060349015316127606e+02,8.414025853617062012e+01
1.056677388714848860e+02,1.224731477412444463e+02,1.048309273252533984e+02,8.065364282560578602e+01
1.058919710353190453e+02,1.225367309645293403e+02,1.073590527951831746e+02,8.287967172462521148e+01
1.030204216051936186e+02,1.250395083248255332e+02,1.082325004282643874e+02,8.119201652381497070e+01
1.051535829702438889e+02,1.244652510837761383e+02,1.122817856542138912e+02,7.886158424222816166e+01
1.094568704102788246e+02,1.232980746254114166e+02,1.129880528833347171e+02,7.610599064656929613e+01
1.028508710999456213e+02,1.248880631838457305e+02,1.074608831038787002e+02,7.906923304386138796e+01
9.781705612068456901e+01,1.245696046755365813e+02,1.094706722316623342e+02,7.789953865623289175e+01
8.798671550341239822e+01,1.231848714461356451e+02,1.120956635320232806e+02,7.837525026610613565e+01
7.819945669846212866e+01,1.218862394854618856e+02,1.099413889115660652e+02,7.707134603631484993e+01
6.917228767436155579e+01,1.218913211512741839e+02,1.133369947375354485e+02,7.806907650570029489e+01
6.325764525617348966e+01,1.228670495678970838e+02,1.119415468035558376e+02,8.163044561482104200e+01
6.743207725779360828e+01,1.242962979994311610e+02,1.111596732433554138e+02,7.932354317060567439e+01
6.910506327798431414e+01,1.244562512268652199e+02,1.087287400045278929e+02,8.449021528533189951e+01
7.436850315605629191e+01,1.262018674647785303e+02,1.100382976250161704e+02,9.328412844889747646e+01
8.090094093696268374e+01,1.262000508365838556e+02,1.090146359330488082e+02,9.161875574262550970e+01
7.617733030385052473e+01,1.280340262664141733e+02,1.077151587089573468e+02,9.758199772701533448e+01
7.333386581216446132e+01,1.284959595352326858e+02,1.089181631282981044e+02,9.279842064683511182e+01
6.781590425905750408e+01,1.288640705641957425e+02,1.086297736466576396e+02,8.749167551846518620e+01
6.810689146786158688e+01,1.267972431547751455e+02,1.086040942477109610e+02,8.888657290689586432e+01
7.630069583504253217e+01,1.288691986092329103e+02,1.075471551652658349e+02,8.628437768440606703e+01
7.640974676429192414e+01,1.264155621892503802e+02,1.103518484453280593e+02,9.205316014371908295e+01
7.784337733898722433e+01,1.301987101928064305e+02,1.098657608389662954e+02,9.092284142985855055e+01
7.930339599566787001e+01,1.305698065870903974e+02,1.082589960327968015e+02,9.098269796785501740e+01
